"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.6879,-0.52623,0.0088266,0,0.48459,0.00010388,4408.4,0.028149,-0.0005115,0,1,0.01886,0.01886,-0.025,0
-9.6427,-0.5275,0.0070893,0,0.49301,0.00010554,4448.7,0.028421,-0.00041456,0,1,0.019065,0.019065,-0.025,0
-9.5919,-0.5281,0.0053771,-1.5006e-021,0.50134,0.00010698,4488.3,0.02865,-0.00031754,0,1,0.01927,0.01927,-0.025,0
-9.5394,-0.52848,0.0036723,-3.4699e-021,0.50964,0.00010836,4527.8,0.028866,-0.00022052,0,1,0.019475,0.019475,-0.025,0
-9.4869,-0.52887,0.0019669,-5.44e-021,0.51794,0.00010974,4567.3,0.029081,-0.00012351,0,1,0.01968,0.01968,-0.025,0
-9.431,-0.52882,0.00025967,-7.3684e-021,0.52621,0.00011107,4606,0.029272,-2.5276e-005,0,1,0.019885,0.019885,-0.025,0
-9.3712,-0.52827,-0.0014497,-9.2478e-021,0.53444,0.00011234,4643.6,0.029433,7.4402e-005,0,1,0.02009,0.02009,-0.025,0
-9.3113,-0.52773,-0.0031597,-1.1128e-020,0.54267,0.00011362,4681.3,0.029595,0.00017406,0,1,0.020295,0.020295,-0.025,0
-9.2506,-0.52705,-0.0048788,-1.2409e-020,0.55088,0.00011489,4718.7,0.02975,0.00027474,-2.2061e-023,1,0.0205,0.0205,-0.025,0
-9.1841,-0.52552,-0.0066542,-9.7378e-021,0.55904,0.00011612,4754.7,0.029856,0.00038226,-1.8948e-022,1,0.020705,0.020705,-0.025,0
-9.1175,-0.52399,-0.0084303,-7.0658e-021,0.5672,0.00011735,4790.7,0.029962,0.00048976,-3.5687e-022,1,0.02091,0.02091,-0.025,0
-9.051,-0.52246,-0.010207,-4.3929e-021,0.57535,0.00011859,4826.7,0.030068,0.00059724,-5.2422e-022,1,0.021115,0.021115,-0.025,0
-8.9802,-0.52012,-0.012079,-2.3595e-021,0.58347,0.00011982,4861.6,0.030129,0.00071431,-5.6136e-022,1,0.02132,0.02132,-0.025,0
-8.9083,-0.51755,-0.013979,-5.0844e-022,0.59158,0.00012104,4896.1,0.030176,0.00083409,-5.613e-022,1,0.021525,0.021525,-0.025,0
-8.8363,-0.51499,-0.015879,1.3433e-021,0.59969,0.00012227,4930.6,0.030223,0.00095384,-5.6125e-022,1,0.02173,0.02173,-0.025,0
-8.7629,-0.51198,-0.017837,1.6014e-021,0.60778,0.00012349,4964.6,0.030245,0.0010788,-3.7012e-022,1,0.021935,0.021935,-0.025,0
-8.6873,-0.5083,-0.019881,-5.5471e-022,0.61584,0.0001247,4997.9,0.030227,0.0012115,1.1022e-022,1,0.02214,0.02214,-0.025,0
-8.6117,-0.50462,-0.021926,-2.7115e-021,0.62391,0.00012591,5031.2,0.03021,0.0013443,5.9046e-022,1,0.022345,0.022345,-0.025,0
-8.5361,-0.50094,-0.023971,-4.8691e-021,0.63198,0.00012712,5064.5,0.030192,0.001477,1.0706e-021,1,0.02255,0.02255,-0.025,0
-8.4582,-0.4961,-0.026153,-4.8883e-021,0.63995,0.00012832,5096.4,0.030105,0.0016222,1.0746e-021,1,0.022755,0.022755,-0.025,0
-8.3804,-0.49124,-0.028336,-4.8892e-021,0.64793,0.00012951,5128.3,0.030017,0.0017675,1.0745e-021,1,0.02296,0.02296,-0.025,0
-8.3026,-0.48638,-0.03052,-4.89e-021,0.65591,0.0001307,5160.2,0.029929,0.0019128,1.0744e-021,1,0.023165,0.023165,-0.025,0
-8.2243,-0.48085,-0.032797,-3.3331e-021,0.66381,0.00013189,5191.2,0.0298,0.0020683,7.4077e-022,1,0.02337,0.02337,-0.025,0
-8.1457,-0.47479,-0.035148,-5.4511e-022,0.67167,0.00013308,5221.5,0.029639,0.0022319,1.438e-022,1,0.023575,0.023575,-0.025,0
-8.0671,-0.46873,-0.0375,2.2439e-021,0.67952,0.00013426,5251.9,0.029479,0.0023954,-4.5304e-022,1,0.02378,0.02378,-0.025,0
-7.9887,-0.46253,-0.03987,4.7571e-021,0.68736,0.00013544,5282,0.029309,0.0025607,-9.9056e-022,1,0.023985,0.023985,-0.025,0
-7.9114,-0.45515,-0.042403,4.7579e-021,0.69506,0.00013661,5310.9,0.029059,0.0027427,-9.9046e-022,1,0.02419,0.02419,-0.025,0
-7.8341,-0.44777,-0.044937,4.7587e-021,0.70276,0.00013778,5339.8,0.02881,0.0029246,-9.9036e-022,1,0.024395,0.024395,-0.025,0
-7.7569,-0.44038,-0.047472,4.7596e-021,0.71047,0.00013895,5368.7,0.028561,0.0031065,-9.9027e-022,1,0.0246,0.0246,-0.025,0
