"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-12.697,-1.4984,0.11336,-2.118e-021,9.4366e-005,9.4052e-005,0.061295,-0.0063167,0,1,0.019475,0.019475,-0.025,0
-12.815,-1.5137,0.10927,-3.3205e-021,9.5191e-005,9.5016e-005,0.062871,-0.0061756,0,1,0.01968,0.01968,-0.025,0
-12.927,-1.5281,0.10535,-4.5254e-021,9.5973e-005,9.5926e-005,0.064389,-0.0060314,0,1,0.019885,0.019885,-0.025,0
-13.032,-1.5416,0.10163,-5.733e-021,9.6703e-005,9.6774e-005,0.065837,-0.0058835,0,1,0.02009,0.02009,-0.025,0
-13.138,-1.555,0.097915,-6.9411e-021,9.7433e-005,9.7622e-005,0.067286,-0.0057356,0,1,0.020295,0.020295,-0.025,0
-13.243,-1.5682,0.094243,-7.8132e-021,9.8152e-005,9.8457e-005,0.068717,-0.0055878,-1.0211e-023,1,0.0205,0.0205,-0.025,0
-13.337,-1.58,0.090894,-6.4683e-021,9.8798e-005,9.9204e-005,0.070036,-0.0054394,-8.7697e-023,1,0.020705,0.020705,-0.025,0
-13.43,-1.5917,0.087544,-5.1229e-021,9.9443e-005,9.9951e-005,0.071355,-0.0052911,-1.6517e-022,1,0.02091,0.02091,-0.025,0
-13.524,-1.6035,0.084193,-3.777e-021,0.00010009,0.0001007,0.072674,-0.0051428,-2.4263e-022,1,0.021115,0.021115,-0.025,0
-13.609,-1.6141,0.081118,-2.5531e-021,0.00010069,0.00010139,0.073895,-0.0049974,-2.5981e-022,1,0.02132,0.02132,-0.025,0
-13.69,-1.6244,0.078121,-1.3638e-021,0.00010127,0.00010206,0.075088,-0.0048528,-2.5979e-022,1,0.021525,0.021525,-0.025,0
-13.772,-1.6348,0.075123,-1.7401e-022,0.00010186,0.00010273,0.076281,-0.0047083,-2.5976e-022,1,0.02173,0.02173,-0.025,0
-13.848,-1.6445,0.072254,3.7165e-022,0.00010243,0.00010338,0.077426,-0.0045662,-1.6834e-022,1,0.021935,0.021935,-0.025,0
