"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.8714,-0.12707,0.017248,-9.9269e-022,7.3699,0.12017,7.575e-005,0.003474,-0.00057078,1.6998e-022,1,0.014145,0.014145,-0.025,0
-6.8754,-0.13044,0.017331,-1.7682e-021,7.4485,0.12138,7.6322e-005,0.0035702,-0.00057282,3.027e-022,1,0.01435,0.01435,-0.025,0
-6.8794,-0.13383,0.017411,-2.4071e-021,7.5246,0.12257,7.6885e-005,0.0036666,-0.00057462,4.1196e-022,1,0.014555,0.014555,-0.025,0
-6.8836,-0.13729,0.01748,-2.4075e-021,7.5891,0.12366,7.7402e-005,0.0037642,-0.00057535,4.1192e-022,1,0.01476,0.01476,-0.025,0
-6.8879,-0.14075,0.017548,-2.4079e-021,7.6536,0.12474,7.7918e-005,0.0038617,-0.00057608,4.1188e-022,1,0.014965,0.014965,-0.025,0
-6.8921,-0.14422,0.017617,-2.3373e-021,7.7175,0.12581,7.8431e-005,0.0039593,-0.00057677,3.9944e-022,1,0.01517,0.01517,-0.025,0
-6.8967,-0.14777,0.017681,-8.6957e-022,7.7685,0.12673,7.8868e-005,0.0040579,-0.00057672,1.4322e-022,1,0.015375,0.015375,-0.025,0
-6.9013,-0.15133,0.017745,5.9865e-022,7.8196,0.12764,7.9305e-005,0.0041566,-0.00057667,-1.1295e-022,1,0.01558,0.01558,-0.025,0
-6.9059,-0.15489,0.017809,2.0674e-021,7.8707,0.12855,7.9742e-005,0.0042552,-0.00057662,-3.6907e-022,1,0.015785,0.015785,-0.025,0
-6.9107,-0.15853,0.017883,2.7313e-023,7.909,0.12938,8.0172e-005,0.0043547,-0.00057667,-3.9568e-022,1,0.01599,0.01599,-0.025,0
-6.9156,-0.16219,0.017958,-2.421e-021,7.9459,0.1302,8.0602e-005,0.0044544,-0.00057673,-3.9564e-022,1,0.016195,0.016195,-0.025,0
-6.9205,-0.16584,0.018033,-4.8702e-021,7.9828,0.13101,8.1031e-005,0.0045541,-0.00057679,-3.956e-022,1,0.0164,0.0164,-0.025,0
-6.9256,-0.16957,0.018127,-6.5228e-021,8.0106,0.13198,8.1595e-005,0.0046546,-0.00057781,-2.199e-022,1,0.016605,0.016605,-0.025,0
-6.9307,-0.17333,0.01823,-7.8643e-021,8.0349,0.133,8.221e-005,0.0047556,-0.00057921,2.4414e-023,1,0.01681,0.01681,-0.025,0
