"p","U:0","U:1","U:2","k","nut","omega","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.886,0.035457,-0.013187,-1.2351e-020,0.00039648,5.661e-007,2197,-0.0006939,0.00049957,-4.5113e-021,1,0.016195,0.016195,-0.025,0
-8.886,0.036745,-0.013664,-3.5708e-020,0.0004846,6.9284e-007,2196.7,-0.00077209,0.00051077,-4.5109e-021,1,0.0164,0.0164,-0.025,0
-8.8863,0.037751,-0.01358,-5.267e-020,0.00058329,8.2485e-007,2197.8,-0.00084959,0.00050639,-2.7249e-021,1,0.016605,0.016605,-0.025,0
-8.8865,0.038647,-0.013277,-6.7137e-020,0.00068612,9.5893e-007,2199.3,-0.00092681,0.00049592,-2.4133e-022,1,0.01681,0.01681,-0.025,0
-8.8868,0.039543,-0.012974,-8.1608e-020,0.00078897,1.0931e-006,2200.8,-0.001004,0.00048546,2.2417e-021,1,0.017015,0.017015,-0.025,0
-8.8872,0.040047,-0.012403,-7.6698e-020,0.00087223,1.1966e-006,2202.7,-0.0010721,0.00046749,3.4398e-021,1,0.01722,0.01722,-0.025,0
-8.8876,0.040183,-0.011582,-5.3696e-020,0.00093719,1.2714e-006,2205,-0.0011315,0.00044251,3.4395e-021,1,0.017425,0.017425,-0.025,0
-8.8881,0.04032,-0.01076,-3.0686e-020,0.0010022,1.3464e-006,2207.4,-0.001191,0.00041755,3.4392e-021,1,0.01763,0.01763,-0.025,0
-8.8885,0.040149,-0.0098453,-1.3078e-020,0.0010719,1.4153e-006,2210.6,-0.001243,0.0003928,3.1313e-021,1,0.017835,0.017835,-0.025,0
-8.889,0.039228,-0.0087025,-8.6626e-021,0.0011532,1.4695e-006,2216.1,-0.0012769,0.0003686,2.0736e-021,1,0.01804,0.01804,-0.025,0
-8.8895,0.038307,-0.0075593,-4.2456e-021,0.0012346,1.5238e-006,2221.7,-0.0013107,0.0003444,1.016e-021,1,0.018245,0.018245,-0.025,0
-8.8899,0.037333,-0.0064095,0,0.0013187,1.5776e-006,2227.5,-0.0013436,0.00032087,0,1,0.01845,0.01845,-0.025,0
-8.8904,0.035075,-0.0051046,0,0.0014709,1.6218e-006,2239.7,-0.0013562,0.0003136,0,1,0.018655,0.018655,-0.025,0
-8.8908,0.032816,-0.0037993,0,0.0016232,1.666e-006,2252,-0.0013687,0.00030633,0,1,0.01886,0.01886,-0.025,0
-8.8912,0.030556,-0.0024935,0,0.0017756,1.7102e-006,2264.3,-0.0013812,0.00029906,0,1,0.019065,0.019065,-0.025,0
-8.8917,0.026808,-0.001014,-1.5802e-020,0.0020407,1.7774e-006,2281.9,-0.0013869,0.00030564,0,1,0.01927,0.01927,-0.025,0
-8.8923,0.022594,0.00052014,-3.654e-020,0.002341,1.8518e-006,2301.2,-0.0013905,0.00031652,0,1,0.019475,0.019475,-0.025,0
