"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.9204,-0.12112,0.016692,-1.0402e-021,6.9895,0.11497,7.3822e-005,0.0033283,-0.00055144,1.7514e-022,1,0.014145,0.014145,-0.025,0
-6.924,-0.12433,0.016779,-1.8529e-021,7.0826,0.11637,7.4486e-005,0.0034217,-0.0005543,3.1189e-022,1,0.01435,0.01435,-0.025,0
-6.9277,-0.12756,0.016863,-2.5224e-021,7.1736,0.11774,7.514e-005,0.0035153,-0.000557,4.2446e-022,1,0.014555,0.014555,-0.025,0
-6.9316,-0.13085,0.016936,-2.5228e-021,7.2553,0.11901,7.5749e-005,0.0036102,-0.00055893,4.2442e-022,1,0.01476,0.01476,-0.025,0
-6.9354,-0.13415,0.017009,-2.5233e-021,7.3371,0.12027,7.6358e-005,0.003705,-0.00056086,4.2438e-022,1,0.014965,0.014965,-0.025,0
-6.9393,-0.13744,0.017082,-2.4497e-021,7.4182,0.12152,7.6965e-005,0.0037998,-0.00056273,4.1167e-022,1,0.01517,0.01517,-0.025,0
-6.9435,-0.14081,0.017143,-9.2238e-022,7.488,0.12267,7.7532e-005,0.0038958,-0.00056366,1.4992e-022,1,0.015375,0.015375,-0.025,0
-6.9476,-0.14418,0.017205,6.0551e-022,7.5579,0.12381,7.8099e-005,0.0039917,-0.0005646,-1.1178e-022,1,0.01558,0.01558,-0.025,0
-6.9518,-0.14755,0.017267,2.1339e-021,7.6277,0.12495,7.8666e-005,0.0040877,-0.00056553,-3.7343e-022,1,0.015785,0.015785,-0.025,0
-6.9563,-0.15099,0.017324,1.1738e-022,7.6873,0.126,7.9191e-005,0.0041844,-0.00056577,-4.0062e-022,1,0.01599,0.01599,-0.025,0
-6.9607,-0.15444,0.017381,-2.3116e-021,7.7458,0.12705,7.9711e-005,0.0042813,-0.00056594,-4.0058e-022,1,0.016195,0.016195,-0.025,0
-6.9652,-0.15789,0.017438,-4.7415e-021,7.8043,0.12809,8.0231e-005,0.0043781,-0.0005661,-4.0054e-022,1,0.0164,0.0164,-0.025,0
-6.9699,-0.1614,0.017499,-6.4145e-021,7.8552,0.12904,8.07e-005,0.0044755,-0.00056633,-2.2397e-022,1,0.016605,0.016605,-0.025,0
-6.9747,-0.16494,0.017563,-7.7919e-021,7.9031,0.12995,8.1149e-005,0.0045731,-0.00056658,2.1549e-023,1,0.01681,0.01681,-0.025,0
-6.9796,-0.16848,0.017626,-9.1698e-021,7.9511,0.13085,8.1599e-005,0.0046706,-0.00056683,2.6702e-022,1,0.017015,0.017015,-0.025,0
-6.9846,-0.17206,0.017703,-8.5975e-021,7.9933,0.13173,8.2042e-005,0.0047688,-0.00056778,3.8547e-022,1,0.01722,0.01722,-0.025,0
-6.9897,-0.17569,0.017792,-6.2048e-021,8.0302,0.13256,8.2479e-005,0.0048674,-0.00056939,3.8543e-022,1,0.017425,0.017425,-0.025,0
-6.9949,-0.17932,0.017881,-3.8112e-021,8.0672,0.1334,8.2916e-005,0.0049661,-0.00057099,3.8539e-022,1,0.01763,0.01763,-0.025,0
-7.0001,-0.18298,0.017982,-1.9243e-021,8.1015,0.1343,8.3402e-005,0.0050653,-0.00057337,3.509e-022,1,0.017835,0.017835,-0.025,0
-7.0055,-0.18671,0.018112,-1.2746e-021,8.1294,0.13536,8.4011e-005,0.0051658,-0.00057763,2.3236e-022,1,0.01804,0.01804,-0.025,0
-7.0109,-0.19043,0.018242,-6.247e-022,8.1573,0.13643,8.4619e-005,0.0052663,-0.00058188,1.1385e-022,1,0.018245,0.018245,-0.025,0
-7.0163,-0.19416,0.018375,0,8.1851,0.13749,8.523e-005,0.005367,-0.00058625,0,1,0.01845,0.01845,-0.025,0
-7.0218,-0.19797,0.018548,0,8.2086,0.13869,8.5904e-005,0.0054745,-0.00059342,0,1,0.018655,0.018655,-0.025,0
-7.0273,-0.20178,0.018722,0,8.2322,0.13988,8.6579e-005,0.0055819,-0.00060058,0,1,0.01886,0.01886,-0.025,0
-7.0327,-0.20558,0.018896,0,8.2557,0.14107,8.7253e-005,0.0056893,-0.00060775,0,1,0.019065,0.019065,-0.025,0
-7.0382,-0.20944,0.018971,-1.7705e-021,8.2844,0.14225,8.7862e-005,0.005805,-0.00060651,0,1,0.01927,0.01927,-0.025,0
-7.0436,-0.21332,0.019016,-4.0941e-021,8.3147,0.14343,8.8451e-005,0.0059232,-0.00060266,0,1,0.019475,0.019475,-0.025,0
-7.0491,-0.21719,0.01906,-6.4185e-021,8.3451,0.1446,8.904e-005,0.0060413,-0.00059881,0,1,0.01968,0.01968,-0.025,0
-7.0545,-0.22109,0.018969,-8.7126e-021,8.3802,0.14578,8.9622e-005,0.0061568,-0.00058295,0,1,0.019885,0.019885,-0.025,0
-7.06,-0.22503,0.018718,-1.0971e-020,8.4208,0.14696,9.0196e-005,0.0062691,-0.00055299,0,1,0.02009,0.02009,-0.025,0
-7.0655,-0.22897,0.018467,-1.323e-020,8.4615,0.14814,9.077e-005,0.0063814,-0.00052303,0,1,0.020295,0.020295,-0.025,0
-7.071,-0.23291,0.018232,-1.4833e-020,8.5074,0.14936,9.1359e-005,0.0064917,-0.00049452,-1.3336e-023,1,0.0205,0.0205,-0.025,0
-7.0768,-0.23686,0.018101,-1.2102e-020,8.5884,0.15082,9.2043e-005,0.006589,-0.0004755,-1.1454e-022,1,0.020705,0.020705,-0.025,0
-7.0826,-0.24082,0.01797,-9.3702e-021,8.6693,0.15227,9.2728e-005,0.0066864,-0.00045648,-2.1572e-022,1,0.02091,0.02091,-0.025,0
-7.0884,-0.24478,0.017839,-6.6375e-021,8.7503,0.15373,9.3414e-005,0.0067837,-0.00043747,-3.1689e-022,1,0.021115,0.021115,-0.025,0
-7.0948,-0.24876,0.01813,-4.3008e-021,8.8733,0.15522,9.3745e-005,0.0068849,-0.0004585,-3.3934e-022,1,0.02132,0.02132,-0.025,0
-7.1013,-0.25273,0.018543,-2.0767e-021,9.0083,0.15672,9.3976e-005,0.0069872,-0.00049096,-3.393e-022,1,0.021525,0.021525,-0.025,0
-7.1079,-0.25671,0.018956,1.4826e-022,9.1433,0.15821,9.4206e-005,0.0070894,-0.00052341,-3.3927e-022,1,0.02173,0.02173,-0.025,0
-7.1148,-0.26072,0.019469,9.9027e-022,9.2772,0.15956,9.4339e-005,0.0071996,-0.00056587,-2.248e-022,1,0.021935,0.021935,-0.025,0
-7.1221,-0.26477,0.020132,-2.6261e-022,9.4096,0.16067,9.4324e-005,0.0073217,-0.00062348,6.2892e-023,1,0.02214,0.02214,-0.025,0
-7.1295,-0.26883,0.020796,-1.5159e-021,9.542,0.16179,9.4309e-005,0.0074438,-0.00068108,3.5052e-022,1,0.022345,0.022345,-0.025,0
-7.1368,-0.27289,0.02146,-2.7697e-021,9.6743,0.1629,9.4294e-005,0.0075659,-0.00073867,6.381e-022,1,0.02255,0.02255,-0.025,0
-7.1447,-0.27704,0.022136,-2.7808e-021,9.7866,0.16379,9.4451e-005,0.0076966,-0.00079907,6.4049e-022,1,0.022755,0.022755,-0.025,0
-7.1526,-0.2812,0.022812,-2.7813e-021,9.8987,0.16468,9.461e-005,0.0078274,-0.00085949,6.4043e-022,1,0.02296,0.02296,-0.025,0
-7.1605,-0.28535,0.023489,-2.7818e-021,10.011,0.16557,9.4769e-005,0.0079582,-0.00091989,6.4036e-022,1,0.023165,0.023165,-0.025,0
-7.1686,-0.28955,0.024239,-1.9082e-021,10.118,0.16631,9.4795e-005,0.0080871,-0.00098766,4.3839e-022,1,0.02337,0.02337,-0.025,0
-7.1768,-0.29378,0.025047,-3.4364e-022,10.222,0.16694,9.4717e-005,0.0082144,-0.0010612,7.6995e-023,1,0.023575,0.023575,-0.025,0
-7.1849,-0.29801,0.025854,1.2214e-021,10.325,0.16757,9.4638e-005,0.0083417,-0.0011348,-2.8433e-022,1,0.02378,0.02378,-0.025,0
-7.1931,-0.30225,0.026689,2.6317e-021,10.428,0.16815,9.4534e-005,0.0084718,-0.0012105,-6.0974e-022,1,0.023985,0.023985,-0.025,0
-7.2012,-0.3065,0.027762,2.6322e-021,10.519,0.16837,9.4194e-005,0.0086274,-0.001306,-6.0968e-022,1,0.02419,0.02419,-0.025,0
-7.2094,-0.31074,0.028835,2.6327e-021,10.61,0.16859,9.3855e-005,0.008783,-0.0014015,-6.0962e-022,1,0.024395,0.024395,-0.025,0
-7.2175,-0.31499,0.029909,2.6331e-021,10.702,0.1688,9.3515e-005,0.0089385,-0.0014969,-6.0956e-022,1,0.0246,0.0246,-0.025,0
-7.2254,-0.31928,0.030334,2.1742e-021,10.764,0.16898,9.342e-005,0.0091267,-0.0015336,-5.0319e-022,1,0.024805,0.024805,-0.025,0
-7.2331,-0.32358,0.03035,1.4249e-021,10.808,0.16912,9.3481e-005,0.0093356,-0.0015332,-3.2968e-022,1,0.02501,0.02501,-0.025,0
-7.2409,-0.32789,0.030366,6.7532e-022,10.853,0.16927,9.3541e-005,0.0095444,-0.0015328,-1.5621e-022,1,0.025215,0.025215,-0.025,0
-7.2486,-0.3322,0.030206,-1.5756e-022,10.909,0.16942,9.3519e-005,0.0097487,-0.0015165,2.1804e-023,1,0.02542,0.02542,-0.025,0
-7.256,-0.33657,0.02845,-1.7434e-021,11.074,0.16965,9.2748e-005,0.009912,-0.0013557,2.4119e-022,1,0.025625,0.025625,-0.025,0
-7.2635,-0.34094,0.026693,-3.3298e-021,11.239,0.16988,9.1976e-005,0.010075,-0.001195,4.6054e-022,1,0.02583,0.02583,-0.025,0
-7.2709,-0.34532,0.024936,-4.9167e-021,11.405,0.17011,9.1205e-005,0.010238,-0.0010343,6.7984e-022,1,0.026035,0.026035,-0.025,0
-7.2781,-0.34956,0.023582,-5.618e-021,13.672,0.17034,8.778e-005,0.010347,-0.0009064,7.7659e-022,1,0.02624,0.02624,-0.025,0
-7.2853,-0.35369,0.022545,-5.6189e-021,17.602,0.17058,8.2256e-005,0.010412,-0.00080439,7.7652e-022,1,0.026445,0.026445,-0.025,0
-7.2925,-0.35783,0.021509,-5.6199e-021,21.531,0.17081,7.6731e-005,0.010477,-0.0007024,7.7644e-022,1,0.02665,0.02665,-0.025,0
-7.2996,-0.36196,0.020472,-5.6209e-021,25.459,0.17104,7.1205e-005,0.010543,-0.00060043,7.7636e-022,1,0.026855,0.026855,-0.025,0
-7.3068,-0.36591,0.020757,-2.213e-021,29.678,0.17267,6.7081e-005,0.010661,-0.00062286,7.673e-022,1,0.02706,0.02706,-0.025,0
-7.3139,-0.36985,0.021056,1.2297e-021,33.9,0.1743,6.2969e-005,0.01078,-0.00064651,7.5815e-022,1,0.027265,0.027265,-0.025,0
-7.321,-0.3738,0.021355,4.6736e-021,38.122,0.17594,5.8856e-005,0.010899,-0.00067016,7.49e-022,1,0.02747,0.02747,-0.025,0
-7.3283,-0.37776,0.021638,7.3009e-021,41.001,0.17788,5.657e-005,0.011048,-0.00069561,6.6386e-022,1,0.027675,0.027675,-0.025,0
-7.3359,-0.38175,0.021896,8.6724e-021,41.82,0.1803,5.7092e-005,0.011243,-0.00072384,4.6196e-022,1,0.02788,0.02788,-0.025,0
-7.3434,-0.38574,0.022155,1.0044e-020,42.638,0.18273,5.7614e-005,0.011437,-0.00075207,2.601e-022,1,0.028085,0.028085,-0.025,0
-7.351,-0.38973,0.022414,1.1417e-020,43.456,0.18515,5.8137e-005,0.011632,-0.00078029,5.8284e-023,1,0.02829,0.02829,-0.025,0
-7.3588,-0.39373,0.022509,1.0307e-020,44.256,0.18742,5.8609e-005,0.011828,-0.00079379,-1.4481e-022,1,0.028495,0.028495,-0.025,0
-7.3666,-0.39773,0.022555,8.456e-021,45.052,0.18964,5.9065e-005,0.012025,-0.0008029,-3.4825e-022,1,0.0287,0.0287,-0.025,0
-7.3745,-0.40173,0.022601,6.6043e-021,45.847,0.19186,5.9522e-005,0.012222,-0.00081201,-5.5165e-022,1,0.028905,0.028905,-0.025,0
-7.3823,-0.40572,0.022637,4.9585e-021,46.652,0.1941,5.9982e-005,0.01242,-0.0008203,-7.3047e-022,1,0.02911,0.02911,-0.025,0
-7.3902,-0.40968,0.022599,4.8565e-021,47.53,0.19648,6.0463e-005,0.01262,-0.00082253,-7.2584e-022,1,0.029315,0.029315,-0.025,0
-7.3982,-0.41363,0.02256,4.7544e-021,48.408,0.19887,6.0944e-005,0.012821,-0.00082475,-7.2121e-022,1,0.02952,0.02952,-0.025,0
-7.4061,-0.41759,0.022521,4.6523e-021,49.286,0.20126,6.1425e-005,0.013021,-0.00082698,-7.1658e-022,1,0.029725,0.029725,-0.025,0
-7.4141,-0.42152,0.022485,5.1171e-021,50.168,0.20364,6.1907e-005,0.013221,-0.00082971,-7.9725e-022,1,0.02993,0.02993,-0.025,0
-7.4221,-0.42542,0.022451,6.3114e-021,51.053,0.20601,6.2388e-005,0.013421,-0.00083308,-9.876e-022,1,0.030135,0.030135,-0.025,0
-7.4301,-0.42933,0.022417,7.506e-021,51.938,0.20837,6.287e-005,0.013621,-0.00083645,-1.1779e-021,1,0.03034,0.03034,-0.025,0
-7.4381,-0.43323,0.022384,8.7012e-021,52.823,0.21074,6.3351e-005,0.013821,-0.00083983,-1.3682e-021,1,0.030545,0.030545,-0.025,0
-7.4462,-0.43711,0.022341,8.1315e-021,53.741,0.21315,6.3835e-005,0.014024,-0.00084289,-1.2808e-021,1,0.03075,0.03075,-0.025,0
-7.4542,-0.44098,0.022296,6.9025e-021,54.673,0.21558,6.432e-005,0.014229,-0.00084583,-1.0898e-021,1,0.030955,0.030955,-0.025,0
-7.4623,-0.44485,0.022251,5.6731e-021,55.604,0.21802,6.4805e-005,0.014434,-0.00084877,-8.9877e-022,1,0.03116,0.03116,-0.025,0
-7.4703,-0.44872,0.022206,4.4433e-021,56.536,0.22045,6.529e-005,0.014639,-0.00085171,-7.0782e-022,1,0.031365,0.031365,-0.025,0
-7.4784,-0.45254,0.022151,3.267e-021,57.492,0.2229,6.5777e-005,0.014846,-0.00085388,-5.2034e-022,1,0.03157,0.03157,-0.025,0
-7.4864,-0.45636,0.022097,2.0909e-021,58.448,0.22534,6.6264e-005,0.015053,-0.00085603,-3.3293e-022,1,0.031775,0.031775,-0.025,0
-7.4945,-0.46019,0.022042,9.1442e-022,59.404,0.22779,6.6751e-005,0.01526,-0.00085819,-1.4556e-022,1,0.03198,0.03198,-0.025,0
-7.5025,-0.46401,0.021986,0,60.368,0.23025,6.7239e-005,0.015468,-0.00086023,0,1,0.032185,0.032185,-0.025,0
-7.5105,-0.46779,0.021925,0,61.36,0.23274,6.7727e-005,0.015678,-0.00086186,0,1,0.03239,0.03239,-0.025,0
-7.5186,-0.47157,0.021864,0,62.352,0.23523,6.8215e-005,0.015887,-0.00086349,0,1,0.032595,0.032595,-0.025,0
-7.5266,-0.47535,0.021803,0,63.343,0.23771,6.8704e-005,0.016097,-0.00086513,0,1,0.0328,0.0328,-0.025,0
-7.5346,-0.47911,0.02174,0,64.348,0.24021,6.9192e-005,0.016308,-0.00086659,0,1,0.033005,0.033005,-0.025,0
-7.5425,-0.48285,0.021675,0,65.369,0.24273,6.9682e-005,0.016519,-0.00086784,0,1,0.03321,0.03321,-0.025,0
-7.5505,-0.48658,0.02161,0,66.391,0.24524,7.0171e-005,0.016731,-0.00086908,0,1,0.033415,0.033415,-0.025,0
-7.5585,-0.49032,0.021544,0,67.412,0.24775,7.066e-005,0.016943,-0.00087033,0,1,0.03362,0.03362,-0.025,0
-7.5664,-0.49403,0.021478,0,68.453,0.25029,7.115e-005,0.017156,-0.00087141,0,1,0.033825,0.033825,-0.025,0
-7.5743,-0.49772,0.02141,0,69.508,0.25283,7.1639e-005,0.017369,-0.00087237,0,1,0.03403,0.03403,-0.025,0
-7.5821,-0.50141,0.021343,0,70.562,0.25538,7.2129e-005,0.017583,-0.00087333,0,1,0.034235,0.034235,-0.025,0
-7.59,-0.5051,0.021275,0,71.616,0.25792,7.2619e-005,0.017796,-0.0008743,0,1,0.03444,0.03444,-0.025,0
