"p","U:0","U:1","U:2","nuTilda","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
34.198,-0.91213,0.22849,-2.47e-022,6.4635e-005,5.8595e-005,0.019709,-0.0078167,-2.235e-022,1,0.01312,0.01312,-0.025,0
34.089,-0.94827,0.22689,-2.1812e-022,6.63e-005,6.0591e-005,0.021083,-0.0078797,-1.9732e-022,1,0.013325,0.013325,-0.025,0
33.966,-0.98294,0.22414,-1.3794e-022,6.7756e-005,6.2307e-005,0.022442,-0.0078842,-1.2475e-022,1,0.01353,0.01353,-0.025,0
33.844,-1.0176,0.22139,-5.7727e-023,6.9213e-005,6.4024e-005,0.023802,-0.0078887,-5.2193e-023,1,0.013735,0.013735,-0.025,0
33.717,-1.0516,0.21829,9.3715e-023,7.0673e-005,6.5755e-005,0.02526,-0.0079018,-1.0232e-023,1,0.01394,0.01394,-0.025,0
33.579,-1.0835,0.21431,4.2784e-022,7.2142e-005,6.7523e-005,0.026971,-0.0079368,-4.6698e-023,1,0.014145,0.014145,-0.025,0
33.441,-1.1155,0.21033,7.6208e-022,7.3611e-005,6.9292e-005,0.028681,-0.0079719,-8.3157e-023,1,0.01435,0.01435,-0.025,0
33.301,-1.1469,0.20622,1.0374e-021,7.5104e-005,7.1091e-005,0.030463,-0.0080132,-1.1317e-022,1,0.014555,0.014555,-0.025,0
33.153,-1.1759,0.20151,1.0376e-021,7.6708e-005,7.3029e-005,0.032578,-0.0080839,-1.1316e-022,1,0.01476,0.01476,-0.025,0
33.005,-1.205,0.19679,1.0378e-021,7.8312e-005,7.4969e-005,0.034692,-0.0081545,-1.1315e-022,1,0.014965,0.014965,-0.025,0
32.857,-1.2338,0.19205,1.0119e-021,7.9912e-005,7.6901e-005,0.036806,-0.0082216,-1.1006e-022,1,0.01517,0.01517,-0.025,0
32.705,-1.26,0.18695,4.7422e-022,8.1416e-005,7.8688e-005,0.038931,-0.0082186,-4.6354e-023,1,0.015375,0.015375,-0.025,0
32.552,-1.2861,0.18184,-6.3669e-023,8.2921e-005,8.0476e-005,0.041055,-0.0082156,1.7335e-023,1,0.01558,0.01558,-0.025,0
32.4,-1.3122,0.17673,-6.0175e-022,8.4427e-005,8.2264e-005,0.043179,-0.0082126,8.1012e-023,1,0.015785,0.015785,-0.025,0
32.249,-1.3358,0.17153,-2.7489e-022,8.5729e-005,8.3806e-005,0.045253,-0.0081537,8.7629e-023,1,0.01599,0.01599,-0.025,0
32.098,-1.3591,0.16632,1.5256e-022,8.7008e-005,8.532e-005,0.04732,-0.0080883,8.7621e-023,1,0.016195,0.016195,-0.025,0
31.947,-1.3824,0.16111,5.8017e-022,8.8288e-005,8.6834e-005,0.049387,-0.0080229,8.7612e-023,1,0.0164,0.0164,-0.025,0
31.8,-1.4038,0.15599,9.4849e-022,8.9465e-005,8.822e-005,0.051387,-0.0079248,5.2369e-023,1,0.016605,0.016605,-0.025,0
31.655,-1.4244,0.15091,1.2937e-021,9.0602e-005,8.9555e-005,0.053361,-0.0078139,3.3625e-024,1,0.01681,0.01681,-0.025,0
31.51,-1.4451,0.14582,1.6391e-021,9.174e-005,9.0891e-005,0.055334,-0.007703,-4.5635e-023,1,0.017015,0.017015,-0.025,0
31.369,-1.4644,0.14087,1.588e-021,9.2814e-005,9.2147e-005,0.057245,-0.0075761,-6.9277e-023,1,0.01722,0.01722,-0.025,0
31.233,-1.4826,0.13605,1.1669e-021,9.3829e-005,9.333e-005,0.0591,-0.0074342,-6.927e-023,1,0.017425,0.017425,-0.025,0
31.097,-1.5008,0.13123,7.4567e-022,9.4844e-005,9.4513e-005,0.060954,-0.0072923,-6.9263e-023,1,0.01763,0.01763,-0.025,0
30.964,-1.5184,0.12651,4.0689e-022,9.5826e-005,9.5655e-005,0.062768,-0.0071449,-6.3063e-023,1,0.017835,0.017835,-0.025,0
30.839,-1.5344,0.12203,2.6952e-022,9.6727e-005,9.6699e-005,0.064488,-0.0069839,-4.176e-023,1,0.01804,0.01804,-0.025,0
30.714,-1.5504,0.11755,1.3209e-022,9.7628e-005,9.7744e-005,0.066207,-0.006823,-2.0461e-023,1,0.018245,0.018245,-0.025,0
30.59,-1.5663,0.11309,0,9.8526e-005,9.8783e-005,0.06792,-0.0066618,0,1,0.01845,0.01845,-0.025,0
30.478,-1.5803,0.10899,0,9.9316e-005,9.9695e-005,0.069496,-0.0064911,0,1,0.018655,0.018655,-0.025,0
30.367,-1.5942,0.10488,0,0.00010011,0.00010061,0.071072,-0.0063205,0,1,0.01886,0.01886,-0.025,0
30.255,-1.6082,0.10078,0,0.0001009,0.00010152,0.072648,-0.00615,0,1,0.019065,0.019065,-0.025,0
