"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-8.5031,-0.16747,0.036976,-1.8205e-022,52.76,0.22031,6.9849e-005,0.0044755,-0.0013442,8.3747e-022,1,0.012915,0.012915,-0.025,0
-8.5109,-0.17412,0.037493,-1.8208e-022,54.836,0.22593,7.072e-005,0.0047585,-0.001383,8.3739e-022,1,0.01312,0.01312,-0.025,0
-8.5189,-0.18084,0.037943,-1.6079e-022,56.986,0.23167,7.1622e-005,0.0050479,-0.0014179,7.3928e-022,1,0.013325,0.013325,-0.025,0
-8.5274,-0.18766,0.038272,-1.0168e-022,59.265,0.23762,7.258e-005,0.0053487,-0.0014459,4.6739e-022,1,0.01353,0.01353,-0.025,0
-8.536,-0.19449,0.038601,-4.2553e-023,61.545,0.24357,7.3538e-005,0.0056494,-0.0014738,1.9555e-022,1,0.013735,0.013735,-0.025,0
-8.5447,-0.20134,0.038909,-5.2395e-022,63.882,0.24959,7.4508e-005,0.005955,-0.0015016,6.5102e-023,1,0.01394,0.01394,-0.025,0
-8.5539,-0.20824,0.039162,-2.392e-021,66.37,0.25579,7.5507e-005,0.0062733,-0.0015291,2.9713e-022,1,0.014145,0.014145,-0.025,0
-8.5632,-0.21515,0.039416,-4.2607e-021,68.857,0.26198,7.6506e-005,0.0065915,-0.0015565,5.2912e-022,1,0.01435,0.01435,-0.025,0
-8.5726,-0.22207,0.039658,-5.8001e-021,71.381,0.26822,7.7511e-005,0.0069135,-0.0015839,7.201e-022,1,0.014555,0.014555,-0.025,0
-8.5826,-0.22903,0.039844,-5.8011e-021,74.076,0.27465,7.8544e-005,0.0072535,-0.0016109,7.2003e-022,1,0.01476,0.01476,-0.025,0
-8.5926,-0.23599,0.040029,-5.8021e-021,76.771,0.28108,7.9577e-005,0.0075934,-0.0016379,7.1996e-022,1,0.014965,0.014965,-0.025,0
-8.6026,-0.24296,0.040211,-5.6396e-021,79.475,0.28752,8.0612e-005,0.0079343,-0.0016647,6.9866e-022,1,0.01517,0.01517,-0.025,0
-8.6134,-0.24993,0.040316,-2.2603e-021,82.37,0.29416,8.1681e-005,0.0082947,-0.0016892,2.5994e-022,1,0.015375,0.015375,-0.025,0
-8.6241,-0.25691,0.040421,1.12e-021,85.265,0.3008,8.275e-005,0.0086551,-0.0017137,-1.7869e-022,1,0.01558,0.01558,-0.025,0
-8.6349,-0.26389,0.040525,4.5015e-021,88.159,0.30744,8.3819e-005,0.0090154,-0.0017382,-6.1723e-022,1,0.015785,0.015785,-0.025,0
-8.6462,-0.27083,0.040552,3.182e-021,91.222,0.31424,8.4919e-005,0.0093921,-0.0017595,-6.6279e-022,1,0.01599,0.01599,-0.025,0
-8.6576,-0.27778,0.04057,1.3158e-021,94.303,0.32105,8.6024e-005,0.0097707,-0.0017805,-6.6273e-022,1,0.016195,0.016195,-0.025,0
-8.669,-0.28473,0.040588,-5.5104e-022,97.385,0.32787,8.7129e-005,0.010149,-0.0018014,-6.6267e-022,1,0.0164,0.0164,-0.025,0
-8.6808,-0.29163,0.040545,-3.0978e-021,100.59,0.33478,8.8254e-005,0.010539,-0.0018193,-3.7503e-022,1,0.016605,0.016605,-0.025,0
-8.6928,-0.2985,0.040477,-5.911e-021,103.84,0.34173,8.9387e-005,0.010933,-0.001836,2.494e-023,1,0.01681,0.01681,-0.025,0
-8.7048,-0.30538,0.040409,-8.7251e-021,107.1,0.34868,9.0521e-005,0.011326,-0.0018527,4.2483e-022,1,0.017015,0.017015,-0.025,0
-8.7171,-0.3122,0.0403,-9.133e-021,110.43,0.35568,9.1666e-005,0.011726,-0.0018671,6.1778e-022,1,0.01722,0.01722,-0.025,0
-8.7296,-0.31896,0.040153,-7.2946e-021,113.84,0.36272,9.2822e-005,0.012132,-0.0018793,6.1772e-022,1,0.017425,0.017425,-0.025,0
-8.742,-0.32573,0.040006,-5.4556e-021,117.24,0.36977,9.3978e-005,0.012538,-0.0018915,6.1766e-022,1,0.01763,0.01763,-0.025,0
-8.7546,-0.33245,0.039838,-3.7799e-021,120.69,0.37684,9.5138e-005,0.012947,-0.0019024,5.6238e-022,1,0.017835,0.017835,-0.025,0
-8.7675,-0.33907,0.039621,-2.5037e-021,124.24,0.38395,9.6309e-005,0.013362,-0.0019101,3.724e-022,1,0.01804,0.01804,-0.025,0
-8.7803,-0.34569,0.039404,-1.2271e-021,127.78,0.39106,9.7481e-005,0.013777,-0.0019178,1.8247e-022,1,0.018245,0.018245,-0.025,0
-8.7931,-0.35231,0.039185,0,131.33,0.39817,9.8653e-005,0.014192,-0.0019254,0,1,0.01845,0.01845,-0.025,0
-8.8062,-0.35876,0.038909,0,134.99,0.40531,9.9833e-005,0.014613,-0.0019287,0,1,0.018655,0.018655,-0.025,0
-8.8193,-0.36521,0.038634,0,138.66,0.41245,0.00010101,0.015033,-0.0019321,0,1,0.01886,0.01886,-0.025,0
-8.8324,-0.37166,0.038358,0,142.32,0.41959,0.00010219,0.015454,-0.0019355,0,1,0.019065,0.019065,-0.025,0
-8.8455,-0.37796,0.038046,-1.1519e-021,146.06,0.42672,0.00010337,0.015877,-0.0019358,0,1,0.01927,0.01927,-0.025,0
-8.8587,-0.38422,0.037724,-2.6635e-021,149.82,0.43386,0.00010456,0.016301,-0.0019351,0,1,0.019475,0.019475,-0.025,0
-8.8718,-0.39048,0.037401,-4.1757e-021,153.58,0.441,0.00010574,0.016724,-0.0019344,0,1,0.01968,0.01968,-0.025,0
-8.885,-0.39664,0.037062,-5.6628e-021,157.38,0.44812,0.00010692,0.017148,-0.0019321,0,1,0.019885,0.019885,-0.025,0
-8.8981,-0.40269,0.036703,-7.1203e-021,161.22,0.45523,0.00010809,0.017571,-0.0019279,0,1,0.02009,0.02009,-0.025,0
-8.9113,-0.40874,0.036345,-8.5782e-021,165.06,0.46233,0.00010927,0.017995,-0.0019236,0,1,0.020295,0.020295,-0.025,0
-8.9244,-0.41476,0.035984,-9.534e-021,168.92,0.46943,0.00011045,0.018418,-0.0019189,-2.0903e-023,1,0.0205,0.0205,-0.025,0
-8.9373,-0.42059,0.035601,-7.1766e-021,172.82,0.47649,0.00011161,0.01884,-0.0019116,-1.7953e-022,1,0.020705,0.020705,-0.025,0
